fleurs_dir,name,level,glottocode,longitude,latitude,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
kea_cv,Kabuverdianu,language,kabu1256,-23.6148,15.0586,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,gali1263,macr1272,uppe1458,
kam_ke,Kamba (Kenya),language,kamb1297,37.9532,-1.60827,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,cent2274,kamb1323,,,,,,
kn_in,Kannada,language,nucl1305,76.1198,13.5878,drav1251,sout3133,sout3138,tami1291,bada1263,kann1259,kann1255,,,,,,,,,
kk_kz,Kazakh,language,kaza1248,71.454,51.17,turk1311,comm1245,kipc1240,kipc1239,sout3396,sout2701,,,,,,,,,,
km_kh,Central Khmer,language,cent1989,105.015,12.0515,aust1305,khme1253,,,,,,,,,,,,,,
ko_kr,Korean,language,kore1280,126.98,37.54,kore1284,,,,,,,,,,,,,,,
ky_kg,Kirghiz,language,kirg1245,74.0,42.0,turk1311,comm1245,kipc1240,kipc1239,sout3396,east2791,,,,,,,,,,
lo_la,Lao,language,laoo1244,102.46,19.0,taik1256,kamt1241,daic1238,daic1237,cent2251,wenm1239,sapa1255,sout3184,sput1235,laot1235,,,,,,
lv_lv,Latvian,language,latv1249,24.309118,56.826108,indo1319,clas1257,balt1263,east2280,,,,,,,,,,,,
ln_cd,Kinshasa Lingala,language,ling1263,15.28532,-4.409174,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,nort3376,rive1266,ngir1248,ngir1252,ngir1254,boba1248,boba1249,boba1250,ling1269
lt_lt,Lithuanian,language,lith1251,23.9601,55.1429,indo1319,clas1257,balt1263,east2280,,,,,,,,,,,,
luo_ke,Luo (Kenya and Tanzania),language,luok1236,34.4896,-0.93296,nilo1247,west2493,lwoo1234,sout2831,adho1241,adho1242,,,,,,,,,,
lb_lu,Moselle Franconian,language,luxe1241,6.14931,49.6839,indo1319,clas1257,germ1287,nort3152,west2793,high1289,fran1268,high1287,midd1319,,,,,,,
mk_mk,Macedonian,language,mace1250,21.7932,41.5957,indo1319,clas1257,balt1263,slav1255,sout3147,east2269,mace1252,,,,,,,,,
ms_my,Standard Malay,language,stan1306,101.699,3.08896,aust1307,mala1545,mala1554,mala1538,nucl1806,stan1327,,,,,,,,,,
ml_in,Malayalam,language,mala1464,76.7651,9.59208,drav1251,sout3133,sout3138,tami1291,tami1292,tami1293,tami1294,tami1297,tami1298,mala1541,,,,,,
mt_mt,Maltese,language,malt1254,14.4508,35.8884,afro1255,semi1276,west2786,cent2236,arab1394,arab1395,nort3191,malt1259,,,,,,,,
cmn_hans_cn,Mandarin Chinese,language,mand1415,116.228,40.0209,sino1245,sini1245,clas1255,midd1354,nort3155,mand1471,,,,,,,,,,
mi_nz,Maori,language,maor1246,176.541,-38.2881,aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,nort3246,solo1260,cent2298,east2449,east2896,sout3383,maor1247,
mr_in,Marathi,language,mara1378,76.6665,17.9344,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1325,mara1416,mara1422,oldm1248,mode1268,,,,,
mn_mn,Mongolian,family,mong1331,87.25414,45.77048,mong1349,mong1329,oira1260,khal1273,,,,,,,,,,,,
ne_np,Nepali,language,nepa1254,85.0,28.0,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,indo1310,east1436,,,,,,,
nso_za,Pedi,language,pedi1238,29.4718,-24.7993,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,nucl1826,dims1234,soth1248,nort3233,sepe1241,,,
nb_no,Norwegian,language,norw1258,10.71,59.92,indo1319,clas1257,germ1287,nort3152,nort3160,west2805,,,,,,,,,,
ny_mw,Nyanja,language,nyan1308,32.8108,-14.8047,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,tumb1253,sena1271,nyan1319,,,,,,
oc_fr,Occitan,language,occi1239,6.82979,44.1415,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,occi1240,,,,
