fleurs_dir,Language,english_name,ISO_639-1,ISO_639-3,glottocode,speakers_fleurs,speakers_linguameta,speakers_wikimedia
sd_in,Sindhi,Sindhi,sd,snd,sind1272,68.0,38.4,37.0
sk_sk,Slovak,Slovak,sk,slk,slov1269,4.0,4.9,5.0
sl_si,Slovenian,Slovenian,sl,slv,slov1268,2.0,1.8,2.0
so_so,Somali,Somali,so,som,soma1255,24.0,9.2,24.0
ckb_iq,Sorani Kurdish,Sorani Kurdish,ckb,ckb,cent1972,7.0,11.1,6.0
es_419,Spanish,Spanish,es,spa,stan1288,490.0,468.36,519.0
sw_ke,Swahili,Swahili,sw,swh,swah1253,24.0,,5.0
sv_se,Swedish,Swedish,sv,swe,swed1254,8.0,12.226,10.0
tg_tj,Tajik,Tajik,tg,tgk,taji1245,8.0,8.9,10.0
ta_in,Tamil,Tamil,ta,tam,tami1289,76.0,81.53,79.0
te_in,Telugu,Telugu,te,tel,telu1262,82.0,95.0,83.0
th_th,Thai,Thai,th,tha,thai1261,20.0,55.0,27.0
tr_tr,Turkish,Turkish,tr,tur,nucl1301,82.0,76.29,85.0
uk_ua,Ukrainian,Ukrainian,uk,ukr,ukra1253,32.0,29.0,32.0
umb_ao,Umbundu,Umbundu,umb,umb,umbu1257,6.0,9.4,7.0
ur_pk,Urdu,Urdu,ur,urd,urdu1245,120.0,288.0,78.0
uz_uz,Uzbek,Uzbek,uz,uzb,uzbe1247,57.0,26.0,34.0
vi_vn,Vietnamese,Vietnamese,vi,vie,viet1252,96.0,85.0,86.0
cy_gb,Welsh,Welsh,cy,cym,wels1247,0.7,0.85,0.538
wo_sn,Wolof,Wolof,wo,wol,nucl1347,4.0,11.0,8.0
xh_za,Xhosa,Xhosa,xh,xho,xhos1239,19.0,10.0,8.0
yo_ng,Yoruba,Yoruba,yo,yor,yoru1245,21.0,28.0,48.0
zu_za,Zulu,Zulu,zu,zul,zulu1248,11.0,14.0,12.0
