"","brsupport","clock","stemmy","Ntips"
"test_1675_-1.fa",44.6585365853659,0.0206822979388563,0.0574622433974944,44
"train_295_-1.fa",43.2558139534884,0.0211413346440787,0.0631573335335328,46
"train_521_-1.fa",41.390243902439,0.0596678194748778,0.107874953078979,44
"train_844_-1.fa",49.8837209302326,0.0597077777629933,0.13981817181511,46
"train_1036_-1.fa",44.9024390243902,0.165907948444651,0.16936850849798,44
"train_1456_-1.fa",41.6,0.222795326518409,0.192158996681816,38
"train_1143_-1.fa",44.4102564102564,0.238643605964923,0.226057771997915,42
"train_721_-1.fa",45.1463414634146,0.239281755125453,0.195300800773909,44
"train_1330_-1.fa",32.8,0.255289599589076,0.22497565780015,45
"train_753_-1.fa",53.4285714285714,0.25613331267617,0.234821012290879,45
"train_818_-1.fa",49.5263157894737,0.260202295841097,0.237861846570582,41
"train_321_-1.fa",43.4651162790698,0.260429668668606,0.205365039289319,46
"train_1332_-1.fa",36.3333333333333,0.262162112957156,0.217710392453221,46
"train_896_-1.fa",50.3,0.262232680889326,0.221244206038796,43
"train_594_-1.fa",48.1428571428571,0.263606491691489,0.201883493319629,45
"train_1335_-1.fa",40.093023255814,0.263626617530856,0.209665939736436,46
"train_1218_-1.fa",46.219512195122,0.264413488519699,0.194677403443962,44
"train_49_-1.fa",50.6153846153846,0.265216299987909,0.276355011730827,42
"test_1770_-1.fa",49.6888888888889,0.26639380808692,0.176551343144654,48
"train_433_-1.fa",39.3863636363636,0.267067119583133,0.244352989793973,47
"train_1245_-1.fa",47.4651162790698,0.267434340852097,0.206883399116897,46
"test_1975_-1.fa",50.6521739130435,0.26816918575931,0.194902197744542,49
"train_755_-1.fa",40.8780487804878,0.268439490921117,0.199591483219485,44
"train_1087_-1.fa",40.2391304347826,0.269327249987473,0.227425499112152,49
"train_904_-1.fa",46.4285714285714,0.272409236586199,0.243475969818572,45
"train_698_-1.fa",49.4347826086956,0.272692693172993,0.211001010889429,49
"train_1382_-1.fa",50.5625,0.272850481333661,0.233478126432359,35
"train_1317_-1.fa",45.5833333333333,0.273385006939721,0.243274684688518,39
"train_1083_-1.fa",45.9761904761905,0.274208052250726,0.217929260413377,45
"train_1231_-1.fa",40.5945945945946,0.274803151614212,0.204125125584081,40
"train_1466_-1.fa",48.2894736842105,0.275453781680402,0.204114065366869,41
"train_1404_-1.fa",40.0222222222222,0.275583634938741,0.185603808347675,48
"train_293_-1.fa",37.6,0.276235497264062,0.201712492318081,49
"train_769_-1.fa",49.84375,0.27677655960853,0.221196112768288,35
"train_1478_-1.fa",42.3409090909091,0.276989747064703,0.204128439641973,47
"train_233_-1.fa",50.2727272727273,0.277193506922693,0.197260887784511,47
"train_1037_-1.fa",44.0238095238095,0.277341901896368,0.231537960885388,45
"train_138_-1.fa",48.8260869565217,0.277776674400518,0.234602776902764,49
"train_1312_-1.fa",49.85,0.27787466220998,0.249887908392547,43
"train_1316_-1.fa",44.1463414634146,0.278381051978611,0.294369997119045,44
"train_209_-1.fa",46.2826086956522,0.279089604792975,0.20340246575469,49
"train_612_-1.fa",43.4545454545455,0.279821824223101,0.210949808224897,47
"train_779_-1.fa",47.3636363636364,0.280196476549631,0.236128343702562,47
"train_1239_-1.fa",50.1190476190476,0.280567202224785,0.249474525058801,45
"train_4_-1.fa",47.1555555555556,0.280858145563407,0.237144182984063,48
"train_1429_-1.fa",47.0714285714286,0.281144629821384,0.251657373731727,45
"train_865_-1.fa",44.4090909090909,0.281287149264127,0.242934866601069,47
"train_1044_-1.fa",38.1951219512195,0.281355596314495,0.182290426722748,44
"train_1285_-1.fa",50.5641025641026,0.281552945705632,0.251458659037674,42
"train_945_-1.fa",44.6410256410256,0.281570223446092,0.201503359261706,42
"dev_1588_-1.fa",48,0.281673556854761,0.195695079284994,49
"train_506_-1.fa",42.3777777777778,0.281765141432726,0.221237917134179,48
"train_95_-1.fa",46.2888888888889,0.282301966804242,0.23732892247475,48
"train_249_-1.fa",51.0232558139535,0.282323760267118,0.250977517363393,46
"train_811_-1.fa",41.5238095238095,0.282426638452284,0.238269639670328,45
"dev_1635_-1.fa",37.4186046511628,0.283177850371978,0.218306700304453,46
"test_1941_-1.fa",42.5555555555556,0.283557278916619,0.187002648612203,48
"train_1298_-1.fa",52.0512820512821,0.283931833149195,0.229175273385631,42
"train_526_-1.fa",47.8529411764706,0.285441539323378,0.258225769537584,37
"train_1082_-1.fa",51.4,0.28546286278643,0.228170266655519,43
"train_1160_-1.fa",48.5,0.285667326134449,0.210827044633981,43
"train_1391_-1.fa",68,0.285797937146651,0.378405324217998,14
"train_1451_-1.fa",50.2954545454545,0.286154712663445,0.213646879498079,47
"train_702_-1.fa",32.906976744186,0.28657133920014,0.200523054436849,46
"train_984_-1.fa",40.4883720930233,0.287015443670579,0.147683374945157,46
"train_1263_-1.fa",52.0975609756098,0.287201685608138,0.229354365676595,44
"train_1020_-1.fa",47.6216216216216,0.287237519501389,0.26406582733162,40
"train_707_-1.fa",43.2857142857143,0.287824234011445,0.221538085317105,45
"train_735_-1.fa",47.775,0.287991649633487,0.197106675211009,43
"train_314_-1.fa",43.2790697674419,0.288327266527093,0.26660389517237,46
"train_1062_-1.fa",53.5952380952381,0.288433182985828,0.267276184993326,45
"train_857_-1.fa",40.2093023255814,0.288603297397949,0.227575148509164,46
"train_1401_-1.fa",48.7317073170732,0.289164216108463,0.210254464766057,44
"train_733_-1.fa",44.8372093023256,0.28963821148714,0.230820941738338,46
"train_1438_-1.fa",43.7297297297297,0.289814920394232,0.242688177907857,40
"train_1495_-1.fa",45.9268292682927,0.290156651133779,0.221081339473867,44
"train_1090_-1.fa",43.4047619047619,0.290313642787004,0.245619881684839,45
"test_1818_-1.fa",43.4,0.290385527029969,0.224920195336544,48
"train_1173_-1.fa",43.6341463414634,0.290393730317145,0.212687322179454,44
"train_724_-1.fa",45.6388888888889,0.290747593207436,0.203964930424911,39
"train_362_-1.fa",41.3829787234043,0.290788397393168,0.229034171303995,50
"train_531_-1.fa",42.5581395348837,0.290809316768584,0.186394711953185,46
"test_1994_-1.fa",35.2619047619048,0.291449108479862,0.191657459870782,45
"train_1166_-1.fa",51.8536585365854,0.291510046993569,0.256381929240114,44
"train_1374_-1.fa",53.6176470588235,0.291554087968797,0.252085192017149,37
"train_1120_-1.fa",47.8048780487805,0.291844750652572,0.228778936364081,44
"train_204_-1.fa",41.7659574468085,0.291850923860709,0.164251243561274,50
"train_795_-1.fa",47.6829268292683,0.292004480343255,0.169582199455411,44
"test_1906_-1.fa",44.4358974358974,0.292018085729647,0.248421190823562,42
"train_1188_-1.fa",46.3695652173913,0.292261387684642,0.193520024578646,49
"dev_1589_-1.fa",45.0697674418605,0.292595207173101,0.292811441907552,46
"test_1946_-1.fa",43.8809523809524,0.292771835934771,0.210876436864987,45
"train_1000_-1.fa",40.5,0.292986279949767,0.163966146191162,45
"dev_1520_-1.fa",43.6511627906977,0.293100064233843,0.225808086681308,46
"train_169_-1.fa",55.5869565217391,0.293528974489922,0.228843874227076,49
"train_277_-1.fa",49.025641025641,0.293898353142577,0.266435299528981,42
"test_1783_-1.fa",47.0909090909091,0.294080785912946,0.248019829048672,47
"train_1106_-1.fa",44.5714285714286,0.294752904417799,0.2435094987491,45
"train_579_-1.fa",41.1052631578947,0.294896266924577,0.2128180923188,41
"train_1182_-1.fa",51.0285714285714,0.295118959062353,0.26419240465723,38
"train_309_-1.fa",51.063829787234,0.295953247055559,0.199884711440389,50
"train_351_-1.fa",47.5581395348837,0.296340583795125,0.257291194773496,46
