"","brsupport","clock","stemmy","Ntips"
"train_98_-1.fa",47.3589743589744,0.0729765432020066,0.160887677791472,42
"test_1939_-1.fa",46.8604651162791,0.0731298374256351,0.200529156204566,46
"train_1358_-1.fa",45.5609756097561,0.0741079789619564,0.183007567280949,44
"train_859_-1.fa",46.1333333333333,0.0803307579984502,0.167710512241093,48
"test_1866_-1.fa",46.7560975609756,0.0895400878235693,0.163728421788549,44
"train_128_-1.fa",43.5909090909091,0.0905306992943759,0.217202048561149,47
"train_416_-1.fa",51.1063829787234,0.0947690658952048,0.192012311732303,50
"train_1396_-1.fa",50.4186046511628,0.0954594550443401,0.160298304138358,46
"train_1088_-1.fa",37.7142857142857,0.0991036074723104,0.159325637606089,45
"train_412_-1.fa",45.8636363636364,0.10096855338396,0.201693796953126,47
"train_727_-1.fa",54.7674418604651,0.111760814949539,0.209083130656707,46
"train_129_-1.fa",47.3617021276596,0.113069230239204,0.217731473505943,50
"train_521_-1.fa",46.0731707317073,0.118446838296771,0.161594605625723,44
"test_1675_-1.fa",55.5853658536585,0.120612777052827,0.149566851598186,44
"train_1456_-1.fa",45.4285714285714,0.122118763118127,0.17970462212114,38
"train_1440_-1.fa",53.1538461538462,0.125327152230694,0.174681008463533,42
"train_873_-1.fa",52.3023255813954,0.131396300176354,0.18307058691247,46
"train_844_-1.fa",40.1860465116279,0.139452575707244,0.171020398718475,46
"train_841_-1.fa",49.2105263157895,0.139502642453419,0.207089740887408,41
"train_281_-1.fa",45.4318181818182,0.142714244780004,0.203363090158958,47
"train_615_-1.fa",34.8421052631579,0.143725870587701,0.176310135282586,41
"train_1036_-1.fa",44.4878048780488,0.144263455620081,0.177771441896089,44
"train_1216_-1.fa",48.45,0.14440467248362,0.166178398980877,43
"train_1128_-1.fa",42.6904761904762,0.149480490488531,0.174940618846624,45
"train_1042_-1.fa",49.0512820512821,0.159062759511306,0.214521142993568,42
"train_1317_-1.fa",51.2222222222222,0.163069209987003,0.201864561249483,39
"train_87_-1.fa",44,0.170334089351714,0.238159354463897,49
"train_194_-1.fa",35.9111111111111,0.179436498633363,0.211098652810977,48
"train_1399_-1.fa",38.5128205128205,0.180233914013109,0.185263428027751,42
"test_1700_-1.fa",49.9782608695652,0.180560144732118,0.243612503494479,49
"train_295_-1.fa",49.8372093023256,0.181942770555631,0.191921530045914,46
"train_417_-1.fa",45.6190476190476,0.1851005402092,0.221311845495338,45
"train_387_-1.fa",45.046511627907,0.191356969809264,0.196681541284321,46
"test_1901_-1.fa",38.2,0.19672244727499,0.181604780098057,43
"train_206_-1.fa",53.1304347826087,0.199907756675965,0.267275612202917,49
"test_1679_-1.fa",44.4047619047619,0.206381532028348,0.184678947741412,45
"train_1076_-1.fa",40.609756097561,0.223501027771101,0.226640035712638,44
"train_430_-1.fa",34.8461538461538,0.224413040590643,0.203909202192316,16
"train_300_-1.fa",44.5111111111111,0.232237491116037,0.216030634440814,48
"train_1349_-1.fa",37.95,0.248792595624953,0.198934666653584,43
"train_1075_-1.fa",41.5853658536585,0.261006007816984,0.191540205514655,44
"train_111_-1.fa",56.2142857142857,0.26378302050178,0.342032156539539,45
"test_1865_-1.fa",57.6136363636364,0.272650157371941,0.344007090592506,47
"train_1378_-1.fa",47.9487179487179,0.275355524526157,0.304161896434648,42
"train_1113_-1.fa",42.9,0.278189523361886,0.306750107381516,43
"test_1796_-1.fa",42.8444444444444,0.27870385906359,0.34358567264007,48
"train_777_-1.fa",43.8292682926829,0.280000269472669,0.280025757482591,44
"test_1874_-1.fa",40.5454545454545,0.281419680137491,0.30076241408368,47
"train_17_-1.fa",52.6744186046512,0.28142812585034,0.27995646827246,46
"test_1919_-1.fa",43.3777777777778,0.283747731301871,0.258327506005371,48
"train_1279_-1.fa",47.25,0.28412527041044,0.259585169338784,47
"dev_1527_-1.fa",45.4,0.284522154716198,0.246046529519837,43
"train_685_-1.fa",48.974358974359,0.285396852770796,0.249579156101732,42
"train_1164_-1.fa",36.3684210526316,0.286005670589,0.29993913829596,41
"dev_1611_-1.fa",43.3414634146341,0.288299781399144,0.334383121840467,44
"train_964_-1.fa",44.9487179487179,0.288398564312407,0.329833022817106,42
"test_1945_-1.fa",37.3720930232558,0.28854549334411,0.269516695073467,46
"train_1288_-1.fa",51.1136363636364,0.289397481325438,0.312792719704867,47
"train_328_-1.fa",48.8604651162791,0.290555834387332,0.251834035603868,46
"train_214_-1.fa",41.1458333333333,0.29076483802016,0.231787418530305,51
"train_1376_-1.fa",49.45,0.291336300242638,0.2564533327019,43
"train_983_-1.fa",48.225,0.291721955084161,0.279518946404363,43
"train_1197_-1.fa",45.1666666666667,0.293100432806477,0.270466129430052,45
"train_794_-1.fa",30.5,0.293290491979817,0.300828967614381,44
"train_751_-1.fa",44.5111111111111,0.293580628246566,0.299503251864192,48
"train_1333_-1.fa",46.8478260869565,0.294451872745559,0.326093255245929,49
"train_451_-1.fa",46.1428571428571,0.294738799696094,0.305841124810064,45
"test_1869_-1.fa",53.9555555555556,0.294825299766583,0.282335717361334,48
"train_407_-1.fa",48.5652173913044,0.295402828529447,0.305141748140778,49
"train_1161_-1.fa",53.1951219512195,0.295597741084746,0.339440589416533,44
