"","brsupport","clock","stemmy","Ntips"
"train_1391_-1.fa",72.8181818181818,0.183340525129446,0.339521175355207,14
"train_196_-1.fa",63.7954545454545,0.209838807334092,0.291105687612632,47
"test_1915_-1.fa",65.2325581395349,0.220549100701971,0.312168338444476,46
"train_601_-1.fa",63.25,0.223756726639126,0.295918421592757,47
"test_1914_-1.fa",68.7317073170732,0.224190175859217,0.356425327187798,44
"train_1037_-1.fa",57.8571428571429,0.231289317168523,0.294534299548732,45
"test_1789_-1.fa",71.4318181818182,0.234371536869406,0.30979653263168,47
"train_106_-1.fa",70.3636363636364,0.240891936991904,0.325265809075476,47
"train_737_-1.fa",70.0731707317073,0.242656293880752,0.304993046883254,44
"train_1382_-1.fa",71.21875,0.243394517480506,0.313248456117059,35
"train_425_-1.fa",66.4444444444444,0.244168829801055,0.311527009558886,48
"train_474_-1.fa",53.6363636363636,0.244486103086213,0.279816883738875,47
"train_907_-1.fa",60.6111111111111,0.24602415273574,0.254198421959038,39
"train_1164_-1.fa",69.2631578947368,0.246185366301637,0.29922535811836,41
"train_1042_-1.fa",63.2307692307692,0.246628350360185,0.291776067540046,42
"train_610_-1.fa",63.4390243902439,0.247187684404561,0.272770512660773,44
"test_1917_-1.fa",66.9545454545455,0.247349450314967,0.311869787094951,47
"train_626_-1.fa",69.9512195121951,0.248806353164117,0.293847033102061,44
"train_662_-1.fa",67.1463414634146,0.24896979102076,0.32752294180737,44
"train_568_-1.fa",60.7954545454545,0.252145376730895,0.278568656743791,47
"test_1704_-1.fa",57.3809523809524,0.252842188298136,0.306992872116961,45
"train_503_-1.fa",67.8717948717949,0.253841777296717,0.299169117724261,42
"train_697_-1.fa",68.6315789473684,0.253959455499487,0.312483769197252,41
"train_851_-1.fa",67.6341463414634,0.25400052315814,0.28844548743501,44
"train_656_-1.fa",75.4047619047619,0.254313450577298,0.287065670214014,45
"train_1340_-1.fa",70.1162790697674,0.255111076696428,0.310354738457238,46
"train_1305_-1.fa",72.5238095238095,0.256364658628008,0.300135695738725,45
"train_771_-1.fa",69.046511627907,0.257470634691334,0.31275882893856,46
"train_322_-1.fa",72.0232558139535,0.25750883753491,0.334618503663245,46
"train_1077_-1.fa",60.6279069767442,0.257598258432492,0.273844609295474,46
"test_1962_-1.fa",61.4473684210526,0.258647863189019,0.303377467835258,41
"train_532_-1.fa",64.4146341463415,0.258905237366643,0.292779607509968,44
"train_1189_-1.fa",75.0263157894737,0.259134006905583,0.28824337172163,41
"train_326_-1.fa",71.8809523809524,0.260157554775891,0.312509610283723,45
"train_769_-1.fa",65.84375,0.262047856905239,0.24828423226087,35
"train_359_-1.fa",63.4782608695652,0.26237211444782,0.282995875161178,49
"train_650_-1.fa",66.8888888888889,0.263757948756426,0.256057608860918,39
"train_439_-1.fa",70.2051282051282,0.263894885469808,0.289275719124187,42
"test_1721_-1.fa",73.953488372093,0.263991263180996,0.360364109810533,46
"train_1062_-1.fa",64.1904761904762,0.265712969286112,0.269291039658662,45
"train_778_-1.fa",65.8974358974359,0.265882650541138,0.301199133413451,42
"train_242_-1.fa",62.390243902439,0.265963085268283,0.259545814891765,44
"train_567_-1.fa",71.925,0.266056452399826,0.325781620818043,43
"test_1692_-1.fa",68.0476190476191,0.2673330235488,0.276330319822951,45
"train_763_-1.fa",64.5833333333333,0.267525390132498,0.298464761936141,39
"train_919_-1.fa",56.2325581395349,0.268410185567081,0.280577401113904,46
"train_663_-1.fa",69.075,0.270925466496904,0.28517344271898,43
"train_121_-1.fa",67.0238095238095,0.271186130135561,0.32519505314021,45
"train_1036_-1.fa",61.4146341463415,0.271214599681185,0.262550778642132,44
"train_1312_-1.fa",72.675,0.271493241069547,0.319542657145942,43
"train_653_-1.fa",63.2093023255814,0.271548832094976,0.327422409045176,46
"train_110_-1.fa",69.8372093023256,0.271572373155242,0.32680298369817,46
"train_1025_-1.fa",63.7948717948718,0.272028733073344,0.377637056132136,42
"train_1156_-1.fa",63.125,0.272539821302152,0.257425337806043,43
"train_1375_-1.fa",65.8918918918919,0.272602636913727,0.301628690715164,40
"train_247_-1.fa",70.8409090909091,0.2736712647691,0.35138856048151,47
"train_611_-1.fa",67.8409090909091,0.273716357120751,0.267419333433595,47
"dev_1547_-1.fa",60.55,0.274703743955394,0.286254631736419,43
"test_1901_-1.fa",64.325,0.275155408652424,0.315258762866728,43
"train_752_-1.fa",71.5681818181818,0.275246962303405,0.344371178701285,47
"train_811_-1.fa",68.5,0.275477152877444,0.266326207110679,45
"train_403_-1.fa",73.6888888888889,0.275664500940126,0.297110759534247,48
"dev_1599_-1.fa",75.2173913043478,0.275955069021869,0.363621277070488,49
"train_1480_-1.fa",65.0243902439024,0.276789866019277,0.261463993183457,44
"train_1473_-1.fa",69.4883720930233,0.276914075929803,0.296602842156878,46
"dev_1534_-1.fa",67.3777777777778,0.276993781584103,0.282368642060965,48
"train_1453_-1.fa",71.8333333333333,0.277007099620511,0.279383744967282,33
"train_1134_-1.fa",56.4523809523809,0.277143190052876,0.257681717709698,45
"train_216_-1.fa",61.5609756097561,0.277235352974124,0.323672521063077,44
"test_1990_-1.fa",69.7317073170732,0.278311100968773,0.326488112296211,44
"test_1888_-1.fa",67.780487804878,0.27881478337148,0.307955503974879,44
"dev_1613_-1.fa",71.3863636363636,0.278836631343751,0.291414892571062,47
"train_309_-1.fa",64.2553191489362,0.278840156281069,0.294459800574819,50
"train_781_-1.fa",68.2352941176471,0.278961555274399,0.330591685484182,37
"train_620_-1.fa",73.8139534883721,0.279250410009831,0.338674121350697,46
"train_667_-1.fa",65.3170731707317,0.279275504316978,0.28179951828259,44
"train_596_-1.fa",65.3777777777778,0.279378481955405,0.305977731800885,48
"train_913_-1.fa",72.2307692307692,0.279846052190079,0.347919439391541,42
"train_519_-1.fa",69.9285714285714,0.280219460174678,0.265758821618805,45
"train_644_-1.fa",72.4047619047619,0.28061579768175,0.329195167093337,45
"train_114_-1.fa",61.6304347826087,0.281148941948008,0.290207896499421,49
"train_592_-1.fa",66.4285714285714,0.281246516176875,0.273224091983265,45
"dev_1594_-1.fa",60.3777777777778,0.281339560267847,0.353211031814799,48
"train_1068_-1.fa",67.9574468085106,0.281500534625095,0.296004338091125,50
"train_900_-1.fa",66.3947368421053,0.281519000083871,0.304278618102088,41
"train_1427_-1.fa",74.35,0.281831313157228,0.307448946311466,43
"train_867_-1.fa",66.4523809523809,0.282432747747494,0.306202894652255,45
"train_710_-1.fa",60,0.283128910215845,0.280451819255423,48
"train_1274_-1.fa",54.9512195121951,0.283372496880125,0.282717784284799,44
"train_454_-1.fa",65.1818181818182,0.28382351768959,0.314737051125906,47
"train_1051_-1.fa",71.2894736842105,0.283994099284587,0.308829558914258,41
"train_1297_-1.fa",56.7894736842105,0.284282823787901,0.272907528474796,41
"train_1049_-1.fa",66.8292682926829,0.284305513535218,0.326351305689182,44
"train_807_-1.fa",60.3421052631579,0.28454907923658,0.278612650174425,41
"train_1350_-1.fa",67.775,0.28466164182168,0.31132463599532,43
"train_735_-1.fa",65.65,0.284723506427572,0.298211199817725,43
"train_579_-1.fa",68.1315789473684,0.284807935701851,0.303418834355668,41
"train_1011_-1.fa",62.8205128205128,0.285523584546976,0.290286336468765,42
"train_1063_-1.fa",61.8333333333333,0.285908385446755,0.308608845521454,45
"train_1321_-1.fa",66.390243902439,0.286507567798441,0.31804074709176,44
"train_520_-1.fa",59.8139534883721,0.286572971757547,0.305345853315544,46
"test_1708_-1.fa",65.8536585365854,0.286698326887005,0.324895547206794,44
"train_502_-1.fa",62.4634146341463,0.286805084978834,0.284766535742769,44
"train_899_-1.fa",58.8684210526316,0.286975999339637,0.299063198906421,41
"train_312_-1.fa",63,0.287068245292483,0.328609834103427,47
"train_304_-1.fa",61.8181818181818,0.287152661518342,0.290416448855334,47
"train_1268_-1.fa",68,0.287413868639121,0.337436253254588,45
"train_1221_-1.fa",51.4146341463415,0.287562018653074,0.305284678087521,44
"train_1405_-1.fa",71.3181818181818,0.28779071710705,0.309315136828955,47
"train_135_-1.fa",74.7111111111111,0.288060612521327,0.316727160162691,48
"train_523_-1.fa",67.7045454545455,0.288343904832324,0.291898821275219,47
"train_258_-1.fa",74.5227272727273,0.288474756267731,0.353073471416993,47
"train_1482_-1.fa",69.75,0.288486589256685,0.287289039579123,43
"test_1877_-1.fa",68.5609756097561,0.289161467940547,0.306261131370457,44
"train_512_-1.fa",65.4102564102564,0.289284176538545,0.326266451545534,42
"train_1165_-1.fa",60.675,0.289370797201018,0.341825413085138,43
"train_968_-1.fa",70.4318181818182,0.289402408330928,0.272303220767576,47
"train_553_-1.fa",63.0714285714286,0.289422712167136,0.311449908549243,45
"train_1438_-1.fa",66.5675675675676,0.289545380189257,0.278206469417882,40
"train_1145_-1.fa",72.2368421052632,0.290071829689507,0.30496059707481,41
"test_1868_-1.fa",59.5581395348837,0.290227394761059,0.297765730682665,46
"test_1735_-1.fa",71.3928571428571,0.290539744053755,0.290691057091416,31
"train_784_-1.fa",70.3571428571429,0.290701493361037,0.317393010578338,45
"train_1419_-1.fa",63.2325581395349,0.29070387103799,0.303753929845076,46
"train_518_-1.fa",64.3488372093023,0.290866457691749,0.308238768246984,46
"train_1466_-1.fa",65.8684210526316,0.290936076317678,0.284002213016558,41
"train_1402_-1.fa",71.7272727272727,0.290978880409333,0.284656252750777,47
"train_1255_-1.fa",69.15,0.291081841301928,0.290880256475996,43
"train_817_-1.fa",73.1388888888889,0.291437310582379,0.310448114499754,39
"test_1876_-1.fa",70.7333333333333,0.291607434563326,0.315288484546061,48
"train_1470_-1.fa",68.2432432432432,0.291807147581444,0.290280405342779,40
"train_805_-1.fa",67.8780487804878,0.291970433068136,0.301125110949885,44
"train_860_-1.fa",72.5609756097561,0.29224702059716,0.317961189045493,44
"train_795_-1.fa",66.1219512195122,0.292284890131743,0.268318732790998,44
"train_1395_-1.fa",71.1162790697674,0.292451742645272,0.317493319812492,46
"train_585_-1.fa",62.6170212765957,0.292510079597134,0.294665931928805,50
"train_1074_-1.fa",63.15,0.2928045431459,0.35231126714457,43
"train_1448_-1.fa",71.8048780487805,0.293145636669428,0.307634570306674,44
"train_430_-1.fa",65.3076923076923,0.293313174652389,0.326496808344925,16
"train_227_-1.fa",67.5957446808511,0.293450915475123,0.305208664218,50
"train_859_-1.fa",58.2,0.29352805694456,0.29931665407887,48
"train_1459_-1.fa",65.6904761904762,0.293744677478048,0.281705255852635,45
"train_1378_-1.fa",58.6666666666667,0.293753125384946,0.307050887010507,42
"train_485_-1.fa",58.6,0.294112523572209,0.261676225513661,43
"dev_1636_-1.fa",74.9777777777778,0.294192485009211,0.313682608413206,48
"train_721_-1.fa",61.4146341463415,0.294589762372708,0.30315114234056,44
"train_1083_-1.fa",68.2142857142857,0.294867806804489,0.306062492622383,45
"train_1272_-1.fa",61.7948717948718,0.29499600322202,0.264740732765723,42
"train_1302_-1.fa",56.7,0.295451616754516,0.314376364564701,43
"train_1115_-1.fa",72.6829268292683,0.295691322036194,0.333370644678514,44
"train_466_-1.fa",72.1315789473684,0.295915323415351,0.310856803564665,41
"test_1856_-1.fa",69.3333333333333,0.296481451608452,0.319425423345186,45
"train_19_-1.fa",68.5111111111111,0.296483937244817,0.294666113210612,48
"dev_1659_-1.fa",72.1304347826087,0.296562327422848,0.327946266617665,49
"train_588_-1.fa",53.4186046511628,0.29676291845826,0.267377152549,46
"train_796_-1.fa",59.4878048780488,0.296933864042091,0.299806215487674,44
"train_1369_-1.fa",59.1363636363636,0.297309427007885,0.285986702596155,47
"train_910_-1.fa",73.75,0.297322389300847,0.373930500043415,43
"train_515_-1.fa",68.9268292682927,0.297390189964915,0.349562170157485,44
"train_692_-1.fa",58.0227272727273,0.297651882194808,0.295522356974286,47
"train_526_-1.fa",74.4705882352941,0.297682509103203,0.327625058590767,37
"train_243_-1.fa",61.6744186046512,0.29772990425909,0.296417250172918,46
"train_953_-1.fa",62.2307692307692,0.298590924132683,0.292026790434787,42
"train_32_-1.fa",67.6304347826087,0.298665957431501,0.310781604417239,49
"train_1244_-1.fa",70.5714285714286,0.298693195096589,0.294828875916764,45
"train_1210_-1.fa",64.1904761904762,0.298888271105815,0.275099596405388,45
"train_1064_-1.fa",71.6666666666667,0.299199307163705,0.297246130014334,45
"train_1103_-1.fa",70.0882352941177,0.299635153322085,0.29601573411886,37
"train_1333_-1.fa",63.1739130434783,0.299803275293653,0.273036941607931,49
"dev_1627_-1.fa",76.195652173913,0.299825033876062,0.343676176190534,49
"test_1940_-1.fa",79.4545454545455,0.299864204985894,0.348755575325028,47
"train_360_-1.fa",64.3658536585366,0.299926358409588,0.284718538132749,44
"train_573_-1.fa",70.3953488372093,0.300000017966933,0.30729965992827,46
"train_914_-1.fa",67.6,0.300223012077433,0.294909578950581,43
"train_677_-1.fa",68.8888888888889,0.300365235017874,0.300504311900518,48
"dev_1624_-1.fa",67.2444444444444,0.300382641144444,0.291325797223072,48
"train_977_-1.fa",68.375,0.300704217535543,0.312083283887372,43
"train_978_-1.fa",71.8108108108108,0.301158300462436,0.319522792551666,40
"train_1502_-1.fa",64.75,0.301170860928033,0.226328854499236,39
"train_269_-1.fa",74.2558139534884,0.301176786729304,0.364540357543627,46
"train_1124_-1.fa",65.5,0.301194579421032,0.296595060405314,43
"train_49_-1.fa",61.5128205128205,0.30125633093499,0.325272473734195,42
